,Species,Ecomorph,DFA,C1,C2,C3,Any,All
argenteolus,argenteolus,U,Tr/TG,TG/Tr,Tr/TG,TG/Tr,Tr/TG,Tr/TG
bartschi,bartschi,U,TC/TG,TG/TC,TG/TC,TG/TC,TC/TG,TC/TG
beckeri,beckeri,M,Tw/Tr,Tw/TC,Tw/TC,Tw/TC,NA,NA
biporcatus,biporcatus,M,CG/TG,CG/TG,CG/TG,CG/TG,CG/TG,CG/TG
christophei,christophei,U,TC/TG/Tr,TG/Tr/TC,TG/Tr/TC,TG/Tr/GB,TC/TG/Tr,NA
cryptolimifrons,cryptolimifrons,M,TG/GB,GB/TG,TG/GB,GB/TG,TG/GB,TG/GB
desechensis,desechensis,U,TG/TC,TG/TC,TG/Tr,TG/TC,TG/TC,TG/TC
hobartsmithi,hobartsmithi,M,GB/TG,TG/Tr,TG/Tr,TG/GB,NA,NA
kreutzi,kreutzi,M,TC/TG/Tr,Tr/TC/TG,Tr/TC/TG,Tr/TC/Tw,TC/TG/Tr,NA
lucius,lucius,U,TG/TC/Tr,TG/Tr/TC,Tr/TG/TC,TG/TC/Tr,TG/TC/Tr,TG/TC/Tr
macrinii,macrinii,M,TG/TC/CG,CG/TC/TG,CG/TC/TG,CG/TC/TG,TG/TC/CG,TG/TC/CG
meridionalis,meridionalis,M,GB/TG,GB/TG,GB/TG,GB/TG,GB/TG,GB/TG
monensis,monensis,U,TG/Tr,TG/Tr,TG/Tr,TG/TC,TG/Tr,NA
notopholis,notopholis,M,TG/GB,TG/GB,TG/GB,TG/GB,TG/GB,TG/GB
ortonii,ortonii,M,Tr/TC,Tr/TC,Tr/TC,TC/Tr,Tr/TC,Tr/TC
pentaprion,pentaprion,M,Tw/TC,TC/Tw,TC/Tr,Tw/TC,Tw/TC,Tw/TC
petersii,petersii,M,CG/TC,CG/TC,CG/TC,CG/TC,CG/TC,CG/TC
quercorum,quercorum,M,TG/TC,TC/Tr,TC/Tr,TC/Tw,NA,NA
rodriguezii,rodriguezii,M,TG/GB,GB/TG,GB/TG,GB/Tr,TG/GB,NA
rupinae,rupinae,U,GB/TG,TG/GB,TG/GB,TG/GB,GB/TG,GB/TG
schwartzi,schwartzi,U,TG/GB,TG/Tr,Tr/TG,Tr/TG,NA,NA
serranoi,serranoi,M,TG/GB,TG/GB,TG/GB,TG/GB,TG/GB,TG/GB
sminthus,sminthus,M,GB/TG,TG/TC,TG/TC,GB/TG,NA,NA
tolimensis,tolimensis,M,TG/TC,TG/TC,TG/Tr,TG/Tr,TG/TC,NA
unilobatus,unilobatus,M,TG/GB/TC,GB/TG/TC,GB/TG/Tr,GB/Tr/TG,TG/GB/TC,NA
vittigerus,vittigerus,M,TG/GB,TG/GB,TG/GB,TG/GB,TG/GB,TG/GB
wellbornae,wellbornae,M,TG/GB,GB/TG,GB/TG,GB/TC,TG/GB,NA
wermuthi,wermuthi,M,GB/TC,TG/Tr,TG/Tr,GB/TG,NA,NA
zeus,zeus,M,GB/TG,GB/TG,GB/TG,GB/Tr,GB/TG,NA
